year,id_,educ,satjob,satfin,satsoc,satlife
2018,106,14,Moderately satisfied,More or less satisfied,Fair,.i:  Inapplicable
2018,107,12,Very satisfied,Pretty well satisfied,Very good,Mostly satisfied
2018,108,12,A little dissatisfied,Not satisfied at all,Good,Completely satisfied
2018,109,16,Very satisfied,More or less satisfied,Good,Completely satisfied
2018,110,14,Very satisfied,Not satisfied at all,Very good,Mostly satisfied
2018,111,14,Very satisfied,Pretty well satisfied,Excellent,Completely satisfied
2018,112,12,Very satisfied,More or less satisfied,Excellent,.i:  Inapplicable
2018,113,14,Very satisfied,More or less satisfied,Good,Completely satisfied
2018,114,12,.i:  Inapplicable,Not satisfied at all,Fair,.i:  Inapplicable
2018,115,16,Very satisfied,Pretty well satisfied,Excellent,Mostly satisfied
2018,116,17,Moderately satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,117,8,.i:  Inapplicable,More or less satisfied,Good,Somewhat satisfied
2018,118,14,.i:  Inapplicable,More or less satisfied,Fair,Somewhat satisfied
2018,119,13,Very satisfied,Not satisfied at all,Very good,Mostly satisfied
2018,120,13,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,121,12,Very satisfied,More or less satisfied,Good,Mostly satisfied
2018,122,12,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,123,16,Very satisfied,More or less satisfied,Very good,Mostly satisfied
2018,124,16,Very satisfied,More or less satisfied,Very good,Somewhat satisfied
2018,125,16,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,126,18,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,127,20,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,128,16,Very satisfied,More or less satisfied,Excellent,Somewhat satisfied
2018,129,18,Very satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,130,18,Moderately satisfied,More or less satisfied,Good,Somewhat satisfied
2018,131,12,Moderately satisfied,More or less satisfied,Very good,Mostly satisfied
2018,132,20,Very satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,133,17,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,134,15,Very satisfied,Not satisfied at all,Good,Somewhat satisfied
2018,135,13,Very satisfied,More or less satisfied,Very good,Somewhat satisfied
2018,136,12,Very satisfied,More or less satisfied,Fair,.i:  Inapplicable
2018,137,16,.i:  Inapplicable,More or less satisfied,Very good,.i:  Inapplicable
2018,138,16,A little dissatisfied,Not satisfied at all,Fair,Somewhat satisfied
2018,139,12,Moderately satisfied,More or less satisfied,Very good,Mostly satisfied
2018,140,15,A little dissatisfied,Pretty well satisfied,Fair,.i:  Inapplicable
2018,141,14,Moderately satisfied,Not satisfied at all,Fair,Neither satisfied nor dissatisfied
2018,142,17,Very satisfied,Not satisfied at all,Excellent,Somewhat satisfied
2018,143,11,A little dissatisfied,Not satisfied at all,Fair,.i:  Inapplicable
2018,144,12,.i:  Inapplicable,Not satisfied at all,Good,.i:  Inapplicable
2018,145,12,Very satisfied,More or less satisfied,Very good,Mostly satisfied
2018,146,12,Moderately satisfied,Pretty well satisfied,Excellent,.i:  Inapplicable
2018,147,12,A little dissatisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,148,17,Very dissatisfied,More or less satisfied,Good,Somewhat satisfied
2018,149,14,.i:  Inapplicable,More or less satisfied,Excellent,.i:  Inapplicable
2018,150,19,Very satisfied,Pretty well satisfied,Very good,Mostly satisfied
2018,151,16,Very satisfied,More or less satisfied,Good,Somewhat satisfied
2018,152,13,.i:  Inapplicable,Pretty well satisfied,Very good,Somewhat satisfied
2018,153,12,Very satisfied,Pretty well satisfied,Good,Somewhat satisfied
2018,154,16,Moderately satisfied,Pretty well satisfied,Good,Neither satisfied nor dissatisfied
2018,155,8,A little dissatisfied,More or less satisfied,Very good,Neither satisfied nor dissatisfied
2018,156,11,Moderately satisfied,More or less satisfied,Fair,Somewhat satisfied
2018,157,12,Very satisfied,Not satisfied at all,Excellent,.i:  Inapplicable
2018,158,14,Moderately satisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,159,7,Moderately satisfied,More or less satisfied,Very good,Mostly satisfied
2018,160,2,Moderately satisfied,More or less satisfied,Fair,.i:  Inapplicable
2018,161,11,.i:  Inapplicable,More or less satisfied,Excellent,Mostly satisfied
2018,162,12,.i:  Inapplicable,More or less satisfied,Fair,.i:  Inapplicable
2018,163,12,Very satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,164,15,Moderately satisfied,More or less satisfied,Very good,Somewhat satisfied
2018,165,6,A little dissatisfied,Not satisfied at all,Good,.i:  Inapplicable
2018,166,13,.i:  Inapplicable,More or less satisfied,Good,.i:  Inapplicable
2018,167,9,Moderately satisfied,More or less satisfied,Good,Mostly satisfied
2018,168,16,Very satisfied,Not satisfied at all,.n:  No answer,.i:  Inapplicable
2018,169,18,A little dissatisfied,Not satisfied at all,Poor,Somewhat dissatisfied
2018,170,13,Moderately satisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,171,12,A little dissatisfied,Not satisfied at all,Poor,Neither satisfied nor dissatisfied
2018,172,14,A little dissatisfied,Not satisfied at all,Very good,Mostly satisfied
2018,173,13,Moderately satisfied,Not satisfied at all,Fair,Neither satisfied nor dissatisfied
2018,174,16,.i:  Inapplicable,More or less satisfied,Fair,.i:  Inapplicable
2018,175,20,Very satisfied,Pretty well satisfied,Fair,Completely satisfied
2018,176,16,.d:  Do not Know/Cannot Choose,More or less satisfied,Good,Mostly satisfied
2018,177,18,Very satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,178,14,Very satisfied,More or less satisfied,Very good,Somewhat satisfied
2018,179,16,Moderately satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,180,14,A little dissatisfied,Pretty well satisfied,Good,.i:  Inapplicable
2018,181,12,Very satisfied,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose
2018,182,16,.i:  Inapplicable,Not satisfied at all,Poor,Neither satisfied nor dissatisfied
2018,183,20,Very dissatisfied,Not satisfied at all,Fair,.i:  Inapplicable
2018,184,17,Moderately satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,185,16,Very dissatisfied,More or less satisfied,Fair,.i:  Inapplicable
2018,186,14,.i:  Inapplicable,Pretty well satisfied,Excellent,Completely satisfied
2018,187,11,.i:  Inapplicable,More or less satisfied,Fair,.i:  Inapplicable
2018,188,16,A little dissatisfied,Not satisfied at all,Fair,.i:  Inapplicable
2018,189,14,.i:  Inapplicable,Pretty well satisfied,Good,Mostly satisfied
2018,190,13,Very satisfied,Pretty well satisfied,Good,.i:  Inapplicable
2018,191,12,Very satisfied,Pretty well satisfied,Very good,Mostly satisfied
2018,192,18,.i:  Inapplicable,More or less satisfied,Fair,Somewhat satisfied
2018,193,6,Moderately satisfied,Not satisfied at all,Excellent,.i:  Inapplicable
2018,194,16,Very satisfied,More or less satisfied,Fair,.i:  Inapplicable
2018,195,11,.i:  Inapplicable,Not satisfied at all,Very good,Completely satisfied
2018,196,16,Moderately satisfied,Pretty well satisfied,Good,.i:  Inapplicable
2018,197,12,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,198,12,Very satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,199,16,Very satisfied,More or less satisfied,Very good,Mostly satisfied
2018,200,14,Very satisfied,Pretty well satisfied,Excellent,.i:  Inapplicable
2018,201,16,A little dissatisfied,More or less satisfied,Fair,.i:  Inapplicable
2018,202,13,Very satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,203,16,.i:  Inapplicable,Pretty well satisfied,Good,Somewhat satisfied
2018,204,13,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,205,16,Moderately satisfied,More or less satisfied,Good,Somewhat satisfied
2018,206,12,.i:  Inapplicable,Pretty well satisfied,Fair,.i:  Inapplicable
2018,207,12,A little dissatisfied,More or less satisfied,Good,.i:  Inapplicable
2018,208,12,Very satisfied,More or less satisfied,Very good,Mostly satisfied
2018,209,16,Moderately satisfied,Not satisfied at all,Very good,Somewhat satisfied
2018,210,12,A little dissatisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,211,14,.i:  Inapplicable,Pretty well satisfied,Good,Mostly satisfied
2018,212,14,Very satisfied,More or less satisfied,Excellent,Completely satisfied
2018,213,10,.i:  Inapplicable,More or less satisfied,Fair,.i:  Inapplicable
2018,214,11,.i:  Inapplicable,Pretty well satisfied,Excellent,.i:  Inapplicable
2018,215,12,.i:  Inapplicable,More or less satisfied,Good,Somewhat satisfied
2018,216,15,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,217,7,.i:  Inapplicable,Not satisfied at all,Fair,Somewhat satisfied
2018,218,3,Moderately satisfied,More or less satisfied,Fair,.i:  Inapplicable
2018,219,12,Very satisfied,More or less satisfied,Excellent,.i:  Inapplicable
2018,220,12,Very satisfied,Pretty well satisfied,Good,Completely satisfied
2018,221,19,Very satisfied,More or less satisfied,Good,Mostly satisfied
2018,222,16,Moderately satisfied,More or less satisfied,Fair,Somewhat satisfied
2018,223,12,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,224,14,Very satisfied,Pretty well satisfied,Good,Mostly satisfied
2018,225,16,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,226,15,Very dissatisfied,Pretty well satisfied,Fair,.i:  Inapplicable
2018,227,11,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,228,17,A little dissatisfied,More or less satisfied,Fair,Somewhat satisfied
2018,229,12,Very dissatisfied,Not satisfied at all,Fair,Neither satisfied nor dissatisfied
2018,230,12,Moderately satisfied,Pretty well satisfied,Excellent,.i:  Inapplicable
2018,231,15,Very satisfied,More or less satisfied,Very good,Mostly satisfied
2018,232,16,Very satisfied,More or less satisfied,Fair,.i:  Inapplicable
2018,233,17,Very satisfied,Pretty well satisfied,Very good,Mostly satisfied
2018,234,12,Very satisfied,More or less satisfied,Excellent,.i:  Inapplicable
2018,235,12,Moderately satisfied,More or less satisfied,Good,Somewhat satisfied
2018,236,17,Very satisfied,Pretty well satisfied,Good,.i:  Inapplicable
2018,237,10,Very satisfied,Pretty well satisfied,Good,.i:  Inapplicable
2018,238,12,Moderately satisfied,More or less satisfied,Good,Somewhat satisfied
2018,239,18,Very satisfied,More or less satisfied,Good,Mostly satisfied
2018,240,13,Moderately satisfied,Pretty well satisfied,Good,.i:  Inapplicable
2018,241,14,Very satisfied,More or less satisfied,Very good,Completely satisfied
2018,242,13,Very satisfied,Pretty well satisfied,Fair,Mostly satisfied
2018,243,13,Very satisfied,Not satisfied at all,Very good,Somewhat satisfied
2018,244,13,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,245,14,A little dissatisfied,Not satisfied at all,Excellent,.i:  Inapplicable
2018,246,12,Moderately satisfied,More or less satisfied,Excellent,.i:  Inapplicable
2018,247,12,Very satisfied,Pretty well satisfied,Good,Completely satisfied
2018,248,13,.i:  Inapplicable,Pretty well satisfied,Very good,Mostly satisfied
2018,249,16,.n:  No answer,More or less satisfied,Very good,Mostly satisfied
2018,250,12,.i:  Inapplicable,Pretty well satisfied,Very good,.i:  Inapplicable
2018,251,12,.i:  Inapplicable,Pretty well satisfied,Fair,Neither satisfied nor dissatisfied
2018,252,16,Moderately satisfied,Pretty well satisfied,Very good,Mostly satisfied
2018,253,14,Very satisfied,Not satisfied at all,Poor,Somewhat dissatisfied
2018,254,12,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,255,10,.i:  Inapplicable,Not satisfied at all,Good,.i:  Inapplicable
2018,256,1,Moderately satisfied,Pretty well satisfied,.n:  No answer,.i:  Inapplicable
2018,257,12,A little dissatisfied,Not satisfied at all,Good,Somewhat satisfied
2018,258,16,Moderately satisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,259,16,.i:  Inapplicable,More or less satisfied,Very good,.i:  Inapplicable
2018,260,12,Very satisfied,More or less satisfied,Fair,.i:  Inapplicable
2018,261,16,.i:  Inapplicable,Pretty well satisfied,Very good,.i:  Inapplicable
2018,262,16,A little dissatisfied,Pretty well satisfied,Very good,Neither satisfied nor dissatisfied
2018,263,16,Moderately satisfied,More or less satisfied,Excellent,.i:  Inapplicable
2018,264,16,A little dissatisfied,Not satisfied at all,Very good,Somewhat satisfied
2018,265,16,Moderately satisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,266,13,.i:  Inapplicable,More or less satisfied,Fair,.i:  Inapplicable
2018,267,16,Moderately satisfied,More or less satisfied,Very good,Somewhat satisfied
2018,268,14,Very satisfied,Pretty well satisfied,Fair,Somewhat satisfied
2018,269,16,Moderately satisfied,More or less satisfied,Excellent,Somewhat satisfied
2018,270,12,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,271,12,Moderately satisfied,Pretty well satisfied,Fair,Somewhat satisfied
2018,272,18,Very satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,273,14,Moderately satisfied,More or less satisfied,Very good,Somewhat satisfied
2018,274,19,Moderately satisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,275,16,.i:  Inapplicable,Pretty well satisfied,Good,Mostly satisfied
2018,276,16,Very satisfied,Pretty well satisfied,Very good,Somewhat satisfied
2018,277,18,Very satisfied,Pretty well satisfied,Excellent,Mostly satisfied
2018,278,15,A little dissatisfied,More or less satisfied,Good,Somewhat satisfied
2018,279,12,Very satisfied,Pretty well satisfied,Excellent,Mostly satisfied
2018,280,16,A little dissatisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,281,12,A little dissatisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,282,13,Moderately satisfied,Not satisfied at all,Fair,Somewhat satisfied
2018,283,14,Moderately satisfied,Not satisfied at all,Good,Somewhat satisfied
2018,284,12,.i:  Inapplicable,More or less satisfied,Very good,.i:  Inapplicable
2018,285,16,.i:  Inapplicable,More or less satisfied,Very good,Mostly satisfied
2018,286,12,.i:  Inapplicable,Pretty well satisfied,Very good,Mostly satisfied
2018,287,18,Very satisfied,Not satisfied at all,Excellent,Somewhat satisfied
2018,288,15,Moderately satisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,289,12,Very satisfied,Pretty well satisfied,Very good,Completely satisfied
2018,290,12,.i:  Inapplicable,More or less satisfied,Very good,.i:  Inapplicable
2018,291,17,Moderately satisfied,More or less satisfied,Very good,Mostly satisfied
2018,292,19,Very satisfied,Pretty well satisfied,Good,Completely satisfied
2018,293,12,Moderately satisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,294,12,A little dissatisfied,Not satisfied at all,Poor,.i:  Inapplicable
2018,295,11,.i:  Inapplicable,More or less satisfied,Very good,Somewhat satisfied
2018,296,16,Moderately satisfied,Pretty well satisfied,Good,.i:  Inapplicable
2018,297,11,.i:  Inapplicable,More or less satisfied,Very good,.i:  Inapplicable
2018,298,20,.i:  Inapplicable,Not satisfied at all,Very good,.i:  Inapplicable
2018,299,20,Very satisfied,Not satisfied at all,Very good,.i:  Inapplicable
2018,300,16,Very satisfied,More or less satisfied,Fair,Somewhat satisfied
2018,301,16,Very satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,302,13,Very satisfied,Pretty well satisfied,Very good,Completely satisfied
2018,303,12,Very satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,304,20,Very satisfied,Pretty well satisfied,Very good,Mostly satisfied
2018,305,14,Moderately satisfied,More or less satisfied,Good,Mostly satisfied
2018,306,12,Very satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,307,17,Very satisfied,More or less satisfied,Very good,Mostly satisfied
2018,308,8,Very satisfied,More or less satisfied,Very good,Completely satisfied
2018,309,12,Moderately satisfied,Not satisfied at all,Good,.i:  Inapplicable
2018,310,16,.i:  Inapplicable,Pretty well satisfied,Excellent,Somewhat satisfied
2018,311,14,.i:  Inapplicable,Pretty well satisfied,Very good,.i:  Inapplicable
2018,312,16,Moderately satisfied,More or less satisfied,Good,.i:  Inapplicable
2018,313,18,Very satisfied,More or less satisfied,Excellent,Mostly satisfied
2018,314,20,Very satisfied,Pretty well satisfied,Very good,Mostly satisfied
2018,315,13,Very satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,316,16,Very dissatisfied,More or less satisfied,Good,Mostly dissatisfied
2018,317,19,.i:  Inapplicable,Pretty well satisfied,Very good,.i:  Inapplicable
2018,318,12,Moderately satisfied,Pretty well satisfied,Good,Somewhat satisfied
2018,319,20,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,320,12,Very satisfied,Not satisfied at all,Excellent,.i:  Inapplicable
2018,321,14,Moderately satisfied,More or less satisfied,Fair,Neither satisfied nor dissatisfied
2018,322,12,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,323,11,.i:  Inapplicable,Not satisfied at all,Good,.i:  Inapplicable
2018,324,7,.i:  Inapplicable,Not satisfied at all,Poor,Somewhat satisfied
2018,325,12,.i:  Inapplicable,Pretty well satisfied,Very good,.i:  Inapplicable
2018,326,10,.i:  Inapplicable,More or less satisfied,Very good,.i:  Inapplicable
2018,327,12,.i:  Inapplicable,Not satisfied at all,Poor,.i:  Inapplicable
2018,328,14,.i:  Inapplicable,Not satisfied at all,Good,Somewhat satisfied
2018,329,17,Moderately satisfied,More or less satisfied,Very good,.i:  Inapplicable
2018,330,16,.i:  Inapplicable,More or less satisfied,Excellent,Mostly satisfied
2018,331,14,Very satisfied,Pretty well satisfied,Fair,Somewhat dissatisfied
2018,332,16,Very satisfied,Pretty well satisfied,Very good,Mostly satisfied
2018,333,19,.i:  Inapplicable,Not satisfied at all,Good,.i:  Inapplicable
2018,334,12,Moderately satisfied,More or less satisfied,Very good,Somewhat satisfied
2018,335,18,.i:  Inapplicable,More or less satisfied,Good,.i:  Inapplicable
2018,336,12,.i:  Inapplicable,Pretty well satisfied,Good,.i:  Inapplicable
2018,337,16,A little dissatisfied,More or less satisfied,Excellent,Somewhat dissatisfied
2018,338,16,Very satisfied,Pretty well satisfied,Very good,Mostly satisfied
2018,339,16,Very satisfied,More or less satisfied,Very good,Mostly satisfied
2018,340,16,Moderately satisfied,More or less satisfied,Good,Somewhat satisfied
2018,341,20,Very satisfied,Pretty well satisfied,Poor,Neither satisfied nor dissatisfied
2018,342,16,.n:  No answer,Pretty well satisfied,Fair,.i:  Inapplicable
2018,343,16,Moderately satisfied,Pretty well satisfied,Very good,Mostly satisfied
2018,344,18,Moderately satisfied,Pretty well satisfied,Excellent,Mostly satisfied
2018,345,14,.i:  Inapplicable,More or less satisfied,Very good,.i:  Inapplicable
2018,346,13,.i:  Inapplicable,More or less satisfied,Very good,Completely satisfied
2018,347,12,Moderately satisfied,More or less satisfied,Fair,.i:  Inapplicable
2018,348,12,.i:  Inapplicable,Not satisfied at all,Good,.i:  Inapplicable
2018,349,12,.i:  Inapplicable,Not satisfied at all,Very good,.i:  Inapplicable
2018,350,15,A little dissatisfied,Not satisfied at all,Very good,Somewhat dissatisfied
2018,351,14,Very satisfied,Pretty well satisfied,Very good,.i:  Inapplicable
2018,352,12,.i:  Inapplicable,Not satisfied at all,Good,.i:  Inapplicable
2018,353,20,.i:  Inapplicable,Pretty well satisfied,Very good,Somewhat satisfied
2018,354,16,.i:  Inapplicable,Pretty well satisfied,Good,.i:  Inapplicable
2018,355,20,Moderately satisfied,Pretty well satisfied,Good,.i:  Inapplicable
2018,356,12,Very satisfied,More or less satisfied,Excellent,Completely satisfied
2018,357,9,A little dissatisfied,Not satisfied at all,Fair,Completely dissatisfied
2018,358,18,Very satisfied,More or less satisfied,Very good,Mostly satisfied
